LIFNR,VENDOR_NAME,MATERIAL_GROUP,DELIVERY_RELIABILITY_PCT,ON_TIME_DELIVERY_PCT,QUALITY_REJECTION_PCT,PRICE_VARIANCE_PCT,AVG_LEAD_TIME_DAYS,INVOICE_ACCURACY_PCT,TOTAL_PO_COUNT,TOTAL_PO_VALUE_INR,COMPLAINT_COUNT,LAST_AUDIT_SCORE,CERTIFIED_ISO,YEARS_AS_VENDOR,RESPONSE_TIME_HRS
1000001,Meridian Industrial Supplies Pvt Ltd,MRO,96.5,94.2,1.2,2.1,7,98.5,8,485000,1,88,1,12,4
1000002,Novalux Raw Materials Ltd,RAW,91.3,89.5,2.8,4.5,10,95.2,4,1182000,3,76,1,8,8
1000003,Volterra Power Systems Pvt Ltd,ELEC,98.2,97.1,0.5,1.2,5,99.1,4,477600,0,94,1,15,2
1000004,Stratos Control Technologies Ltd,ELEC,97.8,96.5,0.8,1.8,6,98.8,1,450000,0,92,1,14,3
1000005,Apex MRO Solutions Pvt Ltd,MRO,88.5,86.2,3.5,5.2,12,92.5,3,292400,4,72,0,6,12
1000006,Crestline Engineering Services Ltd,ENG,94.1,92.8,1.8,3.2,14,96.8,1,85000,1,85,1,10,6
1000007,Ironvault Logistics and Handling,MRO,92.6,91.0,2.1,3.8,9,94.5,2,368000,2,80,1,9,7
1000008,Nexigen Infrastructure Supplies,IT,95.3,93.8,1.5,2.5,8,97.2,1,127500,0,87,1,7,5
1000009,Chemara Process Materials Pvt Ltd,CHEM,93.8,92.1,2.0,3.5,11,95.8,1,110000,1,83,1,11,6
1000010,Synthex Industrial Coatings Ltd,CHEM,90.2,88.5,2.5,4.0,10,93.8,1,160000,2,78,0,8,9
1000011,Vantara Specialty Chemicals Pvt Ltd,CHEM,96.8,95.5,1.0,2.0,8,98.2,1,185000,0,91,1,13,4
1000012,Electra Drive Systems India Ltd,ELEC,97.5,96.2,0.7,1.5,6,98.5,1,336000,0,93,1,16,3
1000013,Precisia Instrumentation Pvt Ltd,ELEC,98.5,97.8,0.4,1.0,5,99.3,1,225000,0,95,1,18,2
1000014,Safeguard Industrial Products Ltd,MRO,95.8,94.5,1.1,2.3,7,97.8,1,170000,0,89,1,11,4
1000015,Orbis General Supplies Pvt Ltd,MRO,89.5,87.8,3.0,4.8,11,93.2,1,25000,2,74,0,5,10
1000016,Axlebrand Precision Bearings Ltd,MECH,98.8,97.5,0.3,0.8,4,99.5,1,204000,0,96,1,20,2
1000017,Torqline Mechanical Components,MECH,97.2,96.0,0.6,1.3,5,98.8,1,138000,0,92,1,14,3
1000018,Fluidex Motion Systems Pvt Ltd,MECH,96.0,94.8,1.0,2.0,7,97.5,1,300000,0,90,1,12,5
1000019,Aerofit Pneumatic Technologies,MECH,97.8,96.5,0.5,1.5,6,98.5,1,240000,0,93,1,15,3
1000020,Voltex Automation India Pvt Ltd,ELEC,96.5,95.2,0.8,1.8,7,97.8,1,555000,0,91,1,13,4
